longitude,latitude
-87.6875461,41.5333678
-87.9431057,41.3555876
-87.7139383,41.642256
-89.2128634,41.1772577
-88.8261844,41.0919777
-88.5197804,40.9980875
-88.8645198,41.1339226
-88.3181315,41.9194721
-89.0889725,41.5214214
-88.3355093,42.2179428
-88.3284183,42.2183569
-89.6481771,41.7844828
-88.369792,41.9105896
-88.8650708,40.8775335
-89.1395315,40.1214284
-90.1703383,41.832927
-89.5581595,40.1567123
-90.3604016,40.0828251
-90.2181763,39.944215
-88.4209014,41.4097535
-91.4818207,40.1139346
-90.9212451,40.2822669
-91.2273655,40.1483794
-88.7403459,39.4522603
-88.7725695,39.4455942
-88.7620129,39.4319832
-88.2436939,42.216135
-90.8148515,39.601992
-90.8070735,39.6153254
-88.246496,42.2431699
-88.9078457,38.0114384
-88.9603479,38.0308831
-90.1937211,38.901437
-90.1953879,38.9694917
-89.0078561,39.6778161
-88.3204123,41.8289755
-89.0262061,41.9097509
-88.7625693,39.4514273
-88.2539306,38.9464333
-88.3055987,38.9128228
-89.3184227,39.5519911
-89.4725929,39.6508833
-88.0205933,40.2989236
-89.3173116,39.5481023
-89.2536989,39.5278229
-89.2956445,39.5411573
-90.2867892,40.2317116
-88.1005981,40.4489235
-88.09532,40.4530903
-90.3645655,39.4658805
-90.6770672,39.0506048
-88.7020194,41.5314198
-90.6854008,39.041716
-88.6800729,41.288367
-88.0936837,42.020861
-88.0918639,42.1150766
-90.2123369,39.3572688
-89.0039691,40.3139257
-88.7292359,40.3380905
-88.6222841,39.5514239
-88.5795034,39.5511455
-88.5550576,39.5686451
-88.716735,39.618647
-89.391764,40.1167112
-90.5598494,40.1292132
-90.5529049,40.0833805
-90.8989292,40.2276137
-89.4034248,37.8056065
-89.4626114,37.674554
-89.2964743,39.303379
-89.1039562,38.9728231
-89.1150805,38.9641128
-89.0939556,38.9614343
-89.1034006,38.9714342
-87.9067901,42.2062023
-88.0667829,41.9458884
-88.0017326,41.8936406
-88.0617371,41.9775285
-89.4153698,37.8056065
-87.8197747,41.6269773
-88.1217401,42.0219719
-87.8119956,41.5833665
-88.1547987,42.0953039
-88.1009939,42.0117721
-88.8584038,40.8758669
-88.1120202,42.1153037
-88.0072782,41.5308645
-88.0411528,41.5990029
-88.2014503,41.4350309
-87.8083636,39.4375355
-88.0392242,41.5461422
-88.8542364,40.8425339
-88.7311782,40.9875326
-88.5192235,40.7469788
-88.7320116,40.9922548
-88.0489599,42.0128059
-87.9242205,41.5483654
-88.0472786,41.4855868
-88.0250558,41.4953091
-88.1139967,41.4128978
-88.2275623,41.4241976
-87.9900468,41.1394763
-88.3733874,40.4683673
-88.3725542,40.4578117
-88.3728319,40.4722562
-87.858375,41.1125325
-88.2708935,41.1975321
-88.2567505,42.2364125
-88.3114727,42.1936351
-88.2253595,42.1989131
-88.3309186,42.2253013
-88.3459187,42.2169679
-88.2117754,42.2334759
-88.3329555,42.3843111
-88.2878412,41.3322538
-88.2861741,41.2941985
-89.2955905,39.5492382
-89.4546304,39.6292632
-90.4084521,39.301436
-90.4034548,39.4381029
-89.0899463,42.2667518
-89.0734408,42.3530737
-88.7528497,40.1855911
-88.3795312,42.2361342
-89.8484429,40.0111595
