latitude,longitude
32.96454,-86.74707
32.8335,-86.6725
32.8254,-86.61584
32.8218,-86.61443
32.98129,-86.72916
31.85038,-88.31562
32.08864,-88.21645
31.76809,-88.32803
32.08772,-88.23236
32.07981,-88.23293
31.71043,-87.77504
31.794,-88.0679
31.794,-88.0679
31.71329,-87.79835
31.5126,-87.89405
31.53057,-87.89532
31.70213,-87.76454
31.53101,-87.89737
31.54878,-87.8812
33.27181,-85.8394
33.27179,-85.83907
33.31073,-85.75263
33.31064,-85.75821
33.64736,-85.57097
33.64826,-85.57097
33.732,-85.43607
33.52405,-85.63682
33.52313,-85.34556
33.59845,-85.48276
33.52399,-85.3483
31.22088,-86.1716
31.56614,-86.01144
31.38271,-85.93471
31.39433,-85.92092
34.77086,-87.9623
34.75303,-87.9587
34.76564,-87.9639
34.6949,-87.52883
34.67101,-87.70053
34.75593,-87.48502
34.69876,-87.53758
34.64378,-87.77989
34.66013,-87.70223
31.3264,-87.0248
31.42827,-86.96843
31.4558,-86.9448
31.4218,-86.95053
31.4208,-87.1804
31.43427,-86.94048
32.8655,-86.2691
32.8655,-86.2691
32.9036,-86.2129
32.8928,-86.1552
31.00455,-86.32666
31.39855,-86.4425
31.3574,-86.2032
31.0054,-86.3295
31.3032,-86.4928
31.4464,-86.6124
31.39855,-86.4425
31.01615,-86.35821
31.59415,-86.2554
31.95282,-86.31379
31.71459,-86.27459
31.70561,-86.26826
34.18849,-86.83783
34.18433,-86.84562
34.18801,-86.84236
34.17363,-86.83665
34.17796,-86.85674
34.18433,-86.84562
34.1782,-86.84154
34.26698,-86.60957
33.98216,-87.0323
33.98199,-87.03224
34.25414,-86.68783
34.01332,-86.75163
34.10232,-86.88003
34.06162,-86.76007
34.17569,-86.61847
34.20752,-87.05299
34.14208,-87.00648
34.24289,-86.86479
34.14171,-86.74142
34.23598,-86.96428
34.25414,-86.68783
34.25414,-86.68783
34.10232,-86.88003
34.10232,-86.8801
34.06162,-86.76007
34.06162,-86.76007
34.17569,-86.61847
34.24289,-86.86479
34.24289,-86.86479
34.23598,-86.96428
34.23582,-86.96523
34.2227,-86.85905
34.09765,-86.88788
34.22223,-86.85899
34.17252,-86.84642
31.5559,-85.5715
31.60044,-85.7323
31.3445,-85.4977
31.5658,-85.5446
31.3445,-85.4977
31.3283,-85.59591
31.3113,-85.553
31.31447,-85.71138
31.31447,-85.71138
31.31447,-85.71138
31.31447,-85.71138
32.4233,-86.9614
32.66136,-86.92888
32.24285,-87.22936
32.65283,-86.92588
32.2963,-87.2237
32.34669,-87.25693
32.2885,-87.0079
32.32138,-86.90254
32.36435,-86.98345
32.37146,-87.01548
32.49732,-86.98259
32.49877,-86.98326
32.37158,-87.01551
32.3528,-86.9847
34.2527,-85.8685
34.28833,-85.99481
34.45535,-85.90408
34.40796,-86.03543
34.63522,-85.76915
34.71114,-85.67548
34.5638,-85.571
34.483,-85.82136
34.37415,-85.77541
34.56335,-85.81412
34.56351,-85.61535
34.48718,-85.82995
34.48718,-85.82995
34.48718,-85.82995
34.3416,-86.0215
34.559,-87.01839
34.58112,-87.00359
34.56741,-86.99431
34.58696,-86.9948
34.59553,-86.97514
34.57837,-86.9461
34.5267,-86.9714
34.5982,-86.9719
34.58885,-86.96731
34.59416,-86.97251
34.59774,-86.99691
34.57738,-86.96219
34.60935,-87.00613
34.58436,-87.0128
34.54545,-86.99471
34.60789,-86.97505
34.57544,-87.0382
34.5487,-87.01159
34.60772,-86.97674
32.4982,-87.84628
32.51005,-87.83515
32.51224,-87.82986
32.5045,-87.8579
31.23507,-85.37469
31.19613,-85.39133
31.20854,-85.39331
31.24122,-85.42163
31.23902,-85.41958
31.21153,-85.37627
31.21921,-85.42824
31.23628,-85.40256
31.21008,-85.41362
31.23396,-85.37259
31.24257,-85.38982
31.26577,-85.38071
31.19299,-85.35121
31.22035,-85.48597
31.27148,-85.39566
31.19378,-85.35378
31.2049,-85.435
31.2664,-85.38022
31.23057,-85.40404
31.27726,-85.46299
31.42265,-86.10495
31.42489,-86.10405
31.42489,-86.10405
32.54661,-86.2128
32.63394,-86.02993
32.6362,-86.324
32.5115,-86.3757
32.49283,-86.36562
32.54659,-86.20685
32.55017,-86.22058
32.50582,-86.3497
32.54936,-86.21587
32.63524,-86.02335
32.63147,-86.32488
32.49984,-86.35828
32.63005,-86.02936
32.63652,-86.32686
32.54341,-86.21069
31.31045,-85.86049
31.30683,-85.83783
31.37122,-85.84637
31.32451,-85.85427
31.31208,-85.85784
31.32409,-85.85334
31.33863,-85.84494
31.30498,-85.83833
31.32637,-85.81928
31.33242,-85.81216
